Publisher,Game,Year,Genre,North America,Europe,Japan,Rest of World,Global
Sony Interactive Entertainment,Shadow of the Colossus,2018,Action-Adventure,0.44,0.52,0.05,0.19,1.2
Square Enix,Kingdom Hearts HD 2.8 Final Chapter Prologue,2017,Role-Playing,0.57,0.25,0.2,0.17,1.2
Namco Bandai Games,Dragon Ball: XenoVerse,2015,Fighting,0.33,0.55,0.14,0.17,1.19
Warner Bros. Interactive Entertainment,LEGO Dimensions,2015,Action,0.48,0.5,0,0.2,1.18
Warner Bros. Interactive Entertainment,LEGO Jurassic World,2015,Action,0.41,0.56,0.02,0.19,1.18
2K Sports,WWE 2K15,2014,Sports,0.4,0.57,0,0.19,1.16
Sony Interactive Entertainment,MLB The Show 17,2017,Sports,0.94,0,0,0.22,1.16
Warner Bros. Interactive Entertainment,LEGO Worlds,2017,Misc,0.21,0.72,0.04,0.17,1.14
Bethesda Softworks,The Elder Scrolls V: Skyrim PSVR,2017,Role-Playing,0.47,0.47,0.01,0.19,1.13
Warner Bros. Interactive Entertainment,LEGO Marvel Super Heroes 2,2017,Action,0.33,0.6,0,0.18,1.11
Electronic Arts,EA Sports UFC,2014,Fighting,0.49,0.43,0.01,0.18,1.11
Square Enix,Final Fantasy XII: The Zodiac Age,2017,Role-Playing,0.37,0.41,0.16,0.15,1.1
Sega,Alien: Isolation,2014,Adventure,0.29,0.59,0.05,0.16,1.09
Sony Interactive Entertainment,MLB The Show 18,2018,Sports,0.86,0,0,0.2,1.06
Bethesda Softworks,The Evil Within II,2017,Action,0.31,0.49,0.09,0.15,1.05
Bethesda Softworks,Prey (2017),2017,Shooter,0.25,0.62,0.02,0.16,1.04
Square Enix,Final Fantasy Type-0,2015,Role-Playing,0.4,0.33,0.16,0.15,1.04
Tecmo Koei,Ni-Oh,2017,Action,0.34,0.36,0.2,0.14,1.03
Sony Computer Entertainment,MLB 15: The Show,2015,Sports,0.75,0.08,0,0.19,1.01
Ubisoft,Steep,2016,Sports,0.23,0.6,0.02,0.15,1.01
Warner Bros. Interactive Entertainment,LEGO Marvel's Avengers,2016,Action,0.31,0.53,0.01,0.16,1.01
2K Games,Evolve,2015,Shooter,0.38,0.41,0.05,0.16,1.01
Warner Bros. Interactive Entertainment,Injustice: Gods Among Us,2013,Fighting,0.46,0.35,0,0.17,0.98
EA Sports,EA Sports UFC 3,2018,Sports,0.4,0.41,0.01,0.16,0.97
EA Sports,Madden NFL 25,2013,Sports,0.64,0.15,0,0.17,0.96
Sony Computer Entertainment,MLB 16: The Show,2016,Sports,0.78,0,0,0.18,0.96
Warner Bros. Interactive Entertainment,Lego Batman 3: Beyond Gotham,2014,Action,0.37,0.42,0,0.16,0.94
Square Enix,Final Fantasy X/X-2 HD Remaster,2015,Role-Playing,0.34,0.36,0.07,0.14,0.9
Namco Bandai Games,Ni no Kuni II: Revenant Kingdom,2018,Role-Playing,0.33,0.31,0.12,0.13,0.89
Sony Computer Entertainment,God of War III,2015,Action,0.4,0.33,0.02,0.15,0.89
Gearbox Software,Fortnite,2017,Action,0.42,0.32,0,0.15,0.89
Warner Bros. Interactive Entertainment,LEGO Harry Potter Collection,2016,Action,0.07,0.68,0,0.13,0.88
Mojang,Minecraft: Story Mode,2015,Adventure,0.31,0.42,0,0.14,0.87
2K Games,BioShock The Collection,2016,Shooter,0.41,0.28,0.03,0.14,0.86
Square Enix,Thief 4,2014,Action,0.28,0.41,0.03,0.13,0.85
Sony Interactive Entertainment,Until Dawn: Rush of Blood,2016,Shooter,0.5,0.21,0,0.15,0.85
Disney Interactive Studios,Disney Infinity 3.0,2015,Action,0.31,0.4,0,0.14,0.85
Focus Home Interactive,Farming Simulator 17,2016,Simulation,0.19,0.52,0.01,0.13,0.85
Ubisoft,The Crew 2,2018,Racing,0.22,0.42,0.05,0.12,0.82
Konami Digital Entertainment,Pro Evolution Soccer 2016,2015,Sports,0.14,0.43,0.14,0.1,0.82
Studio Wildcard,ARK: Survival Evolved,2017,Action,0.28,0.29,0.14,0.11,0.81
Square Enix,Dragon Quest Heroes: The World's Tree Woe and the Blight Below,2015,Action,0.21,0.14,0.39,0.07,0.81
Ubisoft,Assassin's Creed The Ezio Collection,2016,Action,0.14,0.52,0.02,0.12,0.79
Square Enix,Final Fantasy XIV: A Realm Reborn,2014,MMO,0.35,0.23,0.08,0.12,0.79
Activision,Destiny: The Collection,2016,Shooter,0.24,0.4,0.02,0.12,0.78
Codemasters,F1 2016 (Codemasters),2016,Racing,0.07,0.56,0.03,0.11,0.78
Square Enix,Hitman (2016),2017,Action,0.24,0.36,0.06,0.11,0.78
Konami Digital Entertainment,Pro Evolution Soccer 2015,2014,Sports,0.09,0.45,0.12,0.1,0.76
Warner Bros. Interactive Entertainment,LEGO City Undercover,2017,Platform,0.17,0.46,0.01,0.12,0.75
Konami Digital Entertainment,Pro Evolution Soccer 2018,2017,Sports,0.12,0.36,0.19,0.09,0.75
Disney Interactive Studios,Disney Infinity 2.0: Marvel Super Heroes,2014,Action-Adventure,0.37,0.25,0,0.13,0.75
Konami Digital Entertainment,Pro Evolution Soccer 2017,2016,Sports,0.08,0.41,0.18,0.09,0.75
505 Games,Sniper Elite 3,2014,Shooter,0.25,0.37,0,0.12,0.74
Sony Computer Entertainment,MLB 14 The Show,2014,Sports,0.59,0,0,0.14,0.73
Sony Interactive Entertainment,WipEout Omega Collection,2017,Racing,0.12,0.49,0,0.11,0.72
Square Enix,Deus Ex: Mankind Divided,2016,Role-Playing,0.25,0.34,0.01,0.12,0.72
Warner Bros. Interactive Entertainment,The LEGO Movie Videogame,2014,Action-Adventure,0.26,0.32,0.01,0.11,0.71
Capcom,Marvel vs. Capcom: Infinite,2017,Fighting,0.36,0.19,0.04,0.11,0.7
Namco Bandai Games,Dark Souls II,2015,Role-Playing,0.27,0.23,0.09,0.1,0.69
Sega,Yakuza 6,2016,Adventure,0.16,0.1,0.38,0.05,0.69
Codemasters,F1 2015,2015,Racing,0.1,0.45,0.04,0.1,0.68
Deep Silver,METRO 2033,2014,Shooter,0.22,0.31,0.05,0.1,0.68
Ubisoft,Rocksmith 2014,2014,Music,0.38,0.17,0,0.12,0.67
EA Sports,NHL 16,2015,Sports,0.38,0.16,0,0.12,0.66
Electronic Arts,Plants vs Zombies: Garden Warfare,2014,Shooter,0.24,0.3,0.01,0.11,0.66
Namco Bandai Games,Tales of Berseria,2016,Role-Playing,0.22,0.1,0.26,0.07,0.65
Sega,Yakuza Zero: The Place of Oath,2015,Adventure,0.22,0.16,0.19,0.08,0.65
Namco Bandai Games,One Piece: Burning Blood,2016,Fighting,0.21,0.26,0.09,0.09,0.65
Warner Bros. Interactive Entertainment,Batman: Return to Arkham,2016,Action,0.15,0.39,0.01,0.1,0.64
